"id","employee_id","basic_salary","allowances","deductions","net_salary"
1,1,50000.00,5000.00,2000.00,53000.00
2,2,114000.00,9500.00,2000.00,121500.00
3,3,71000.00,4500.00,4500.00,71000.00
4,4,89000.00,7000.00,4000.00,92000.00
5,5,47000.00,4500.00,1000.00,50500.00
6,6,68000.00,4000.00,4000.00,68000.00
7,7,46000.00,6000.00,4500.00,47500.00
8,8,53000.00,9000.00,500.00,61500.00
9,9,84000.00,10000.00,3500.00,90500.00
10,10,39000.00,2000.00,5000.00,36000.00
11,11,58000.00,5500.00,3000.00,60500.00
12,12,32000.00,8000.00,2000.00,38000.00
13,13,112000.00,9500.00,4500.00,117000.00
14,14,37000.00,6500.00,3000.00,40500.00
15,15,56000.00,7000.00,1000.00,62000.00
16,16,41000.00,10000.00,1000.00,50000.00
17,17,37000.00,4000.00,1500.00,39500.00
18,18,37000.00,5000.00,1000.00,41000.00
19,19,61000.00,5000.00,1000.00,65000.00
20,20,49000.00,8000.00,4000.00,53000.00
21,21,68000.00,6000.00,500.00,73500.00
22,22,63000.00,5500.00,5000.00,63500.00
23,23,85000.00,3000.00,500.00,87500.00
24,24,53000.00,9500.00,1000.00,61500.00
25,25,57000.00,2500.00,3000.00,56500.00
26,26,63000.00,8500.00,3000.00,68500.00
27,27,33000.00,6000.00,4500.00,34500.00
28,28,37000.00,3000.00,2500.00,37500.00
29,29,32000.00,5000.00,4500.00,32500.00
30,30,41000.00,3500.00,2000.00,42500.00
31,31,62000.00,8000.00,2000.00,68000.00
32,32,40000.00,10000.00,2000.00,48000.00
33,33,66000.00,4500.00,4500.00,66000.00
34,34,116000.00,8500.00,1000.00,123500.00
35,35,79000.00,7500.00,4000.00,82500.00
36,36,55000.00,3500.00,1500.00,57000.00
37,37,41000.00,8000.00,4500.00,44500.00
38,38,51000.00,4500.00,4500.00,51000.00
39,39,73000.00,9000.00,3000.00,79000.00
40,40,55000.00,7000.00,3000.00,59000.00
41,41,97000.00,8500.00,3000.00,102500.00
42,42,68000.00,5500.00,5000.00,68500.00
43,43,64000.00,5000.00,3500.00,65500.00
44,44,79000.00,6000.00,3000.00,82000.00
45,45,58000.00,9000.00,3500.00,63500.00
46,46,28000.00,2500.00,2500.00,28000.00
47,47,47000.00,10000.00,1500.00,55500.00
48,48,47000.00,2000.00,2500.00,46500.00
49,49,73000.00,5000.00,3000.00,75000.00
50,50,31000.00,6000.00,4500.00,32500.00
51,51,62000.00,4000.00,1000.00,65000.00
52,52,30000.00,9000.00,3000.00,36000.00
53,53,64000.00,4000.00,2500.00,65500.00
54,54,53000.00,5500.00,2000.00,56500.00
55,55,51000.00,6500.00,1000.00,56500.00
56,56,71000.00,8000.00,5000.00,74000.00
57,57,43000.00,3000.00,3000.00,43000.00
58,58,65000.00,4500.00,4000.00,65500.00
59,59,74000.00,3500.00,5000.00,72500.00
60,60,71000.00,6500.00,500.00,77000.00
61,61,81000.00,8000.00,1000.00,88000.00
62,62,33000.00,7000.00,3000.00,37000.00
63,63,62000.00,8500.00,1000.00,69500.00
64,64,79000.00,5500.00,5000.00,79500.00
65,65,35000.00,8000.00,500.00,42500.00
66,66,49000.00,10000.00,500.00,58500.00
67,67,50000.00,4000.00,3000.00,51000.00
68,68,72000.00,5500.00,1500.00,76000.00
69,69,33000.00,8000.00,4000.00,37000.00
70,70,88000.00,10000.00,1000.00,97000.00
71,71,73000.00,8500.00,2500.00,79000.00
72,72,55000.00,4000.00,1500.00,57500.00
73,73,51000.00,3000.00,4000.00,50000.00
74,74,64000.00,2500.00,4500.00,62000.00
75,75,60000.00,6000.00,1000.00,65000.00
76,76,60000.00,10000.00,3500.00,66500.00
77,77,84000.00,4000.00,1500.00,86500.00
78,78,60000.00,5000.00,4000.00,61000.00
79,79,65000.00,5000.00,4500.00,65500.00
80,80,74000.00,10000.00,2000.00,82000.00
81,81,45000.00,3000.00,2500.00,45500.00
82,82,84000.00,8500.00,3000.00,89500.00
83,83,64000.00,3000.00,1000.00,66000.00
84,84,77000.00,8500.00,3500.00,82000.00
85,85,63000.00,7500.00,2000.00,68500.00
86,86,86000.00,7500.00,5000.00,88500.00
87,87,29000.00,6500.00,1500.00,34000.00
88,88,57000.00,9000.00,5000.00,61000.00
89,89,39000.00,9000.00,500.00,47500.00
90,90,54000.00,5000.00,3000.00,56000.00
